Fecha,Comprador,Vendedor
17-09-2026,"1.480,406","1.531,977"
16-09-2026,"1.480,067","1.531,563"
15-09-2026,"1.477,201","1.532,265"
14-09-2026,"1.478,533","1.530,547"
11-09-2026,"1.480,303","1.531,732"
10-09-2026,"1.482,562","1.533,975"
09-09-2026,"1.481,929","1.533,531"
08-09-2026,"1.477,801","1.529,402"
07-09-2026,"1.477,628","1.529,191"
04-09-2026,"1.477,206","1.528,595"
03-09-2026,"1.477,983","1.529,423"
02-09-2026,"1.482,018","1.533,581"
01-09-2026,"1.482,082","1.533,632"
31-08-2026,"1.480,017","1.531,514"
28-08-2026,"1.480,109","1.533,213"
27-08-2026,"1.481,719","1.533,216"
26-08-2026,"1.481,611","1.533,108"
25-08-2026,"1.479,794","1.531,071"
24-08-2026,"1.475,740","1.527,326"
21-08-2026,"1.466,863","1.518,130"
20-08-2026,"1.466,243","1.517,577"
19-08-2026,"1.466,557","1.517,541"
18-08-2026,"1.463,470","1.515,019"
14-08-2026,"1.461,040","1.512,589"
13-08-2026,"1.464,593","1.515,663"
12-08-2026,"1.464,593","1.515,663"
11-08-2026,"1.465,708","1.517,887"
10-08-2026,"1.470,056","1.520,434"
07-08-2026,"1.469,919","1.521,283"
06-08-2026,"1.467,440","1.518,243"
05-08-2026,"1.468,779","1.520,115"
04-08-2026,"1.465,507","1.516,828"
03-08-2026,"1.464,905","1.515,975"
31-07-2026,"1.460,139","1.511,123"
30-07-2026,"1.460,719","1.512,024"
29-07-2026,"1.467,278","1.518,592"
28-07-2026,"1.470,152","1.520,815"
27-07-2026,"1.469,879","1.520,466"
24-07-2026,"1.468,026","1.518,856"
23-07-2026,"1.459,889","1.510,797"
22-07-2026,"1.451,151","1.502,354"
21-07-2026,"1.447,342","1.498,403"
20-07-2026,"1.450,748","1.502,038"
17-07-2026,"1.450,970","1.501,665"
16-07-2026,"1.444,807","1.495,926"
15-07-2026,"1.446,490","1.497,609"
14-07-2026,"1.449,266","1.500,757"
13-07-2026,"1.457,274","1.508,832"
08-07-2026,"1.461,749","1.513,220"
07-07-2026,"1.461,141","1.513,071"
06-07-2026,"1.460,904","1.512,502"
03-07-2026,"1.456,173","1.507,045"
02-07-2026,"1.461,078","1.512,636"
01-07-2026,"1.459,947","1.511,106"
30-06-2026,"1.450,596","1.502,091"
29-06-2026,"1.447,177","1.498,224"
26-06-2026,"1.444,175","1.495,573"
25-06-2026,"1.447,585","1.498,118"
24-06-2026,"1.446,669","1.498,045"
23-06-2026,"1.439,408","1.491,127"
22-06-2026,"1.431,535","1.481,791"
19-06-2026,"1.432,052","1.481,938"
18-06-2026,"1.419,998","1.470,007"
17-06-2026,"1.409,968","1.461,265"
16-06-2026,"1.403,801","1.453,608"
12-06-2026,"1.401,622","1.452,550"
11-06-2026,"1.402,201","1.453,602"
10-06-2026,"1.408,106","1.460,665"
09-06-2026,"1.412,463","1.463,832"
08-06-2026,"1.412,354","1.464,298"
05-06-2026,"1.411,501","1.462,877"
04-06-2026,"1.406,327","1.458,024"
03-06-2026,"1.408,759","1.459,694"
02-06-2026,"1.397,859","1.448,787"
01-06-2026,"1.393,993","1.444,575"
29-05-2026,"1.380,103","1.431,571"
28-05-2026,"1.378,957","1.430,454"
27-05-2026,"1.378,430","1.429,899"
26-05-2026,"1.377,426","1.428,895"
22-05-2026,"1.369,399","1.419,735"
21-05-2026,"1.360,195","1.411,663"
20-05-2026,"1.369,410","1.420,878"
19-05-2026,"1.367,592","1.418,661"
18-05-2026,"1.365,067","1.416,308"
15-05-2026,"1.367,700","1.418,568"
14-05-2026,"1.362,236","1.414,071"
13-05-2026,"1.360,983","1.412,452"
12-05-2026,"1.356,984","1.408,673"
11-05-2026,"1.365,653","1.417,112"
08-05-2026,"1.367,101","1.418,342"
07-05-2026,"1.366,522","1.417,618"
06-05-2026,"1.357,191","1.408,267"
05-05-2026,"1.365,362","1.416,837"
04-05-2026,"1.373,170","1.424,639"
30-04-2026,"1.363,462","1.415,797"
29-04-2026,"1.367,210","1.418,686"
28-04-2026,"1.384,196","1.435,679"
27-04-2026,"1.383,634","1.440,605"
24-04-2026,"1.366,994","1.418,453"
23-04-2026,"1.361,864","1.412,875"
22-04-2026,"1.348,483","1.399,749"
21-04-2026,"1.345,454","1.396,898"
20-04-2026,"1.346,115","1.397,086"
17-04-2026,"1.339,404","1.389,012"
16-04-2026,"1.328,438","1.379,336"
15-04-2026,"1.338,423","1.388,704"
14-04-2026,"1.338,556","1.389,009"
13-04-2026,"1.337,200","1.387,779"
10-04-2026,"1.349,002","1.399,423"
09-04-2026,"1.359,295","1.409,920"
08-04-2026,"1.361,597","1.412,023"
