Fecha	Valor
30/06/2010	0,7
31/07/2010	0,8
31/08/2010	0,7
30/09/2010	0,7
31/10/2010	0,8
30/11/2010	0,7
31/12/2010	0,8
31/01/2011	0,7
28/02/2011	0,7
31/03/2011	0,8
30/04/2011	0,8
31/05/2011	0,7
30/06/2011	0,7
31/07/2011	0,8
31/08/2011	0,8
30/09/2011	0,8
31/10/2011	0,6
30/11/2011	0,6
31/12/2011	0,8
31/01/2012	0,9
29/02/2012	0,7
31/03/2012	0,9
30/04/2012	0,8
31/05/2012	0,8
30/06/2012	0,7
31/07/2012	0,8
31/08/2012	0,9
30/09/2012	0,9
31/10/2012	0,8
30/11/2012	0,9
31/12/2012	1,0
31/01/2013	1,1
28/02/2013	0,5
31/03/2013	0,7
30/04/2013	0,7
31/05/2013	0,7
30/06/2013	0,8
31/07/2013	0,9
31/08/2013	0,8
30/09/2013	0,8
31/10/2013	0,9
30/11/2013	0,9
31/12/2013	1,4
31/01/2014	3,6
28/02/2014	3,4
31/03/2014	2,6
30/04/2014	1,8
31/05/2014	1,4
30/06/2014	1,3
31/07/2014	1,4
31/08/2014	1,3
30/09/2014	1,4
31/10/2014	1,2
30/11/2014	1,1
31/12/2014	1,0
31/01/2015	1,1
28/02/2015	0,9
31/03/2015	1,3
30/04/2015	1,1
31/05/2015	1,0
30/06/2015	1,0
31/07/2015	1,3
31/08/2015	1,2
30/09/2015	1,2
31/10/2015	1,1
30/11/2015	2,0
31/12/2015	3,9
31/01/2016	4,1
29/02/2016	2,7
31/03/2016	3,0
30/04/2016	3,4
31/05/2016	4,2
30/06/2016	3,1
31/07/2016	2,0
31/08/2016	0,2
30/09/2016	1,1
31/10/2016	2,4
30/11/2016	1,6
31/12/2016	1,2
31/01/2017	1,3
28/02/2017	2,5
31/03/2017	2,4
30/04/2017	2,6
31/05/2017	1,3
30/06/2017	1,2
31/07/2017	1,7
31/08/2017	1,4
30/09/2017	1,9
31/10/2017	1,5
30/11/2017	1,4
31/12/2017	3,1
31/01/2018	1,8
28/02/2018	2,4
31/03/2018	2,3
30/04/2018	2,7
31/05/2018	2,1
30/06/2018	3,7
31/07/2018	3,1
31/08/2018	3,9
30/09/2018	6,5
31/10/2018	5,4
30/11/2018	3,2
31/12/2018	2,6
31/01/2019	2,9
28/02/2019	3,8
31/03/2019	4,7
30/04/2019	3,4
31/05/2019	3,1
30/06/2019	2,7
31/07/2019	2,2
31/08/2019	4,0
30/09/2019	5,9
31/10/2019	3,3
30/11/2019	4,3
31/12/2019	3,7
31/01/2020	2,3
29/02/2020	2,0
31/03/2020	3,3
30/04/2020	1,5
31/05/2020	1,5
30/06/2020	2,2
31/07/2020	1,9
31/08/2020	2,7
30/09/2020	2,8
31/10/2020	3,8
30/11/2020	3,2
31/12/2020	4,0
31/01/2021	4,0
28/02/2021	3,6
31/03/2021	4,8
30/04/2021	4,1
31/05/2021	3,3
30/06/2021	3,2
31/07/2021	3,0
31/08/2021	2,5
30/09/2021	3,5
31/10/2021	3,5
30/11/2021	2,5
31/12/2021	3,8
31/01/2022	3,9
28/02/2022	4,7
31/03/2022	6,7
30/04/2022	6,0
31/05/2022	5,1
30/06/2022	5,3
31/07/2022	7,4
31/08/2022	7,0
30/09/2022	6,2
31/10/2022	6,3
30/11/2022	4,9
31/12/2022	5,1
31/01/2023	6,0
28/02/2023	6,6
31/03/2023	7,7
30/04/2023	8,4
31/05/2023	7,8
30/06/2023	6,0
31/07/2023	6,3
31/08/2023	12,4
30/09/2023	12,7
31/10/2023	8,3
30/11/2023	12,8
31/12/2023	25,5
31/01/2024	20,6
29/02/2024	13,2
31/03/2024	11,0
30/04/2024	8,8
31/05/2024	4,2
30/06/2024	4,6
31/07/2024	4,0
31/08/2024	4,2
30/09/2024	3,5
31/10/2024	2,7
30/11/2024	2,4
31/12/2024	2,7
31/01/2025	2,2
28/02/2025	2,4
31/03/2025	3,7
30/04/2025	2,8
31/05/2025	1,5
30/06/2025	1,6
31/07/2025	1,9
31/08/2025	1,9
30/09/2025	2,1
31/10/2025	2,3
30/11/2025	2,5
31/12/2025	2,8
31/01/2026	2,9
28/02/2026	2,9
31/03/2026	3,4
30/04/2026	2,6
31/05/2026	2,1
30/06/2026	1,9
31/07/2026	2,1
31/08/2026	1,7
